Date,Merchant,Category,Amount
2024-01-01,Academic Scholarship,Income,800.00
2024-01-03,University Bookstore,Shopping,129.99
2024-01-05,Campus Cafe,Dining,8.50
2024-01-07,City Transit,Transport,45.00
2024-01-08,Netflix,Subscriptions,15.99
2024-01-08,Spotify Premium,Subscriptions,9.99
2024-01-10,Grocery Outlet,Groceries,32.45
2024-01-12,DoorDash,Dining,22.50
2024-01-15,Student Union,Entertainment,15.00
2024-01-17,DoorDash,Dining,18.75
2024-01-20,Campus Library,Education,5.25
2024-01-22,DoorDash,Dining,24.99
2024-01-25,Part-time Job,Income,325.00
2024-01-26,Amazon Prime,Subscriptions,14.99
2024-01-28,Roommate (Rent Share),Housing,350.00
2024-01-29,DoorDash,Dining,19.50
2024-01-30,Mobile Provider,Subscriptions,35.00
2024-02-01,Online Textbooks,Education,75.50
2024-02-03,Coffee Shop,Dining,4.75
2024-02-05,Campus Cafe,Dining,9.25
2024-02-08,Netflix,Subscriptions,15.99
2024-02-08,Spotify Premium,Subscriptions,9.99
2024-02-09,DoorDash,Dining,21.75
2024-02-10,Grocery Outlet,Groceries,38.75
2024-02-14,DoorDash,Dining,28.50
2024-02-15,Movie Theater,Entertainment,12.50
2024-02-18,DoorDash,Dining,17.99
2024-02-20,Campus Print Shop,Education,7.50
2024-02-22,Disney+,Subscriptions,7.99
2024-02-25,Part-time Job,Income,325.00
2024-02-25,Work Study Bonus,Income,150.00
2024-02-26,Amazon Prime,Subscriptions,14.99
2024-02-27,DoorDash,Dining,23.45
2024-02-28,Roommate (Rent Share),Housing,350.00
2024-03-01,Mobile Provider,Subscriptions,35.00
2024-03-03,Pharmacy,Healthcare,22.45
2024-03-05,Campus Cafe,Dining,7.95
2024-03-08,Netflix,Subscriptions,15.99
2024-03-08,Spotify Premium,Subscriptions,9.99
2024-03-08,Thrift Store,Shopping,18.50
2024-03-10,Grocery Outlet,Groceries,41.20
2024-03-11,DoorDash,Dining,25.99
2024-03-15,Student Union,Entertainment,11.75
2024-03-16,DoorDash,Dining,19.99
2024-03-20,Online Course,Education,49.99
2024-03-22,DoorDash,Dining,22.50
2024-03-22,HBO Max,Subscriptions,9.99
2024-03-25,Part-time Job,Income,325.00
2024-03-26,Amazon Prime,Subscriptions,14.99
2024-03-28,Roommate (Rent Share),Housing,350.00
2024-03-29,DoorDash,Dining,24.50
2024-03-30,Mobile Provider,Subscriptions,35.00
2024-04-02,Campus Bookstore,Education,22.50
2024-04-05,Coffee Shop,Dining,5.25
2024-04-07,City Transit,Transport,45.00
2024-04-08,Netflix,Subscriptions,15.99
2024-04-08,Spotify Premium,Subscriptions,9.99
2024-04-10,Grocery Outlet,Groceries,35.65
2024-04-12,DoorDash,Dining,26.75
2024-04-15,Concert Ticket,Entertainment,25.00
2024-04-17,DoorDash,Dining,20.99
2024-04-20,Library Fine,Education,3.50
2024-04-22,DoorDash,Dining,23.99
2024-04-22,Apple TV+,Subscriptions,6.99
2024-04-25,Part-time Job,Income,325.00
2024-04-25,Merit Scholarship,Income,600.00
2024-04-26,Amazon Prime,Subscriptions,14.99
2024-04-28,Roommate (Rent Share),Housing,350.00
2024-04-29,DoorDash,Dining,21.50
2024-04-30,Mobile Provider,Subscriptions,35.00
2024-05-03,Campus Cafe,Dining,8.95
2024-05-05,Pharmacy,Healthcare,15.75
2024-05-08,Netflix,Subscriptions,15.99
2024-05-08,Spotify Premium,Subscriptions,9.99
2024-05-10,Grocery Outlet,Groceries,39.45
2024-05-11,DoorDash,Dining,24.25
2024-05-15,Student Union,Entertainment,13.25
2024-05-16,DoorDash,Dining,18.99
2024-05-20,Study Materials,Education,18.99
2024-05-22,DoorDash,Dining,22.99
2024-05-22,Paramount+,Subscriptions,5.99
2024-05-25,Part-time Job,Income,325.00
2024-05-26,Amazon Prime,Subscriptions,14.99
2024-05-28,Roommate (Rent Share),Housing,350.00
2024-05-29,DoorDash,Dining,25.75
2024-05-30,Mobile Provider,Subscriptions,35.00
2024-06-02,Coffee Shop,Dining,4.95
2024-06-05,Campus Cafe,Dining,9.50
2024-06-07,City Transit,Transport,45.00
2024-06-08,Netflix,Subscriptions,15.99
2024-06-08,Spotify Premium,Subscriptions,9.99
2024-06-10,Grocery Outlet,Groceries,42.35
2024-06-12,DoorDash,Dining,27.50
2024-06-15,Movie Theater,Entertainment,12.50
2024-06-17,DoorDash,Dining,21.99
2024-06-20,Campus Print Shop,Education,6.75
2024-06-22,DoorDash,Dining,24.99
2024-06-22,YouTube Premium,Subscriptions,11.99
2024-06-25,Summer Job,Income,450.00
2024-06-25,Summer Job Bonus,Income,200.00
2024-06-26,Amazon Prime,Subscriptions,14.99
2024-06-28,Roommate (Rent Share),Housing,350.00
2024-06-29,DoorDash,Dining,26.50
2024-06-30,Mobile Provider,Subscriptions,35.00
