Date,Merchant,Category,Amount
2024-01-01,Monthly Freelance Income,Income,3500.00
2024-01-02,Coffee Shop,Dining,12.75
2024-01-05,Adobe Creative Cloud,Subscriptions,52.99
2024-01-08,Client A Payment,Income,1250.00
2024-01-09,Uber,Transport,24.50
2024-01-10,Local Cafe,Dining,15.75
2024-01-11,Uber,Transport,18.75
2024-01-12,Office Supply Store,Shopping,85.45
2024-01-13,Uber,Transport,22.25
2024-01-15,Grocery Store,Groceries,125.30
2024-01-16,Apple App Store,Subscriptions,9.99
2024-01-17,Uber,Transport,19.50
2024-01-18,Gas Station,Transport,45.50
2024-01-19,Uber,Transport,26.75
2024-01-20,Internet Provider,Subscriptions,75.00
2024-01-22,Amazon Electronics,Shopping,249.99
2024-01-25,Rent Payment,Housing,950.00
2024-01-26,Uber,Transport,21.50
2024-01-28,Health Insurance,Healthcare,325.00
2024-01-30,Mobile Provider,Subscriptions,85.00
2024-02-01,Monthly Freelance Income,Income,3800.00
2024-02-03,Client B Payment,Income,850.00
2024-02-04,Uber,Transport,23.75
2024-02-06,Restaurant,Dining,42.75
2024-02-07,Uber,Transport,17.99
2024-02-10,Grocery Store,Groceries,132.50
2024-02-11,Uber,Transport,25.25
2024-02-12,Co-working Space,Housing,150.00
2024-02-14,Best Buy,Shopping,179.99
2024-02-15,Client C Payment,Income,1750.00
2024-02-15,Project Completion Bonus,Income,750.00
2024-02-16,Apple App Store,Subscriptions,9.99
2024-02-17,Uber,Transport,20.50
2024-02-18,Ride Share,Transport,48.25
2024-02-19,Uber,Transport,22.75
2024-02-20,Online Course,Education,199.99
2024-02-23,Uber,Transport,19.25
2024-02-25,Rent Payment,Housing,950.00
2024-02-27,Uber,Transport,24.99
2024-02-28,Health Insurance,Healthcare,325.00
2024-03-01,Monthly Freelance Income,Income,4200.00
2024-03-02,Mobile Provider,Subscriptions,85.00
2024-03-05,Client A Payment,Income,1250.00
2024-03-06,Uber,Transport,21.25
2024-03-08,Adobe Creative Cloud,Subscriptions,52.99
2024-03-09,Uber,Transport,18.50
2024-03-10,Local Cafe,Dining,18.25
2024-03-11,Uber,Transport,23.99
2024-03-12,Office Supply Store,Shopping,65.75
2024-03-14,Amazon Electronics,Shopping,329.99
2024-03-15,Grocery Store,Groceries,118.45
2024-03-16,Apple App Store,Subscriptions,9.99
2024-03-17,Uber,Transport,19.75
2024-03-18,Ride Share,Transport,42.75
2024-03-19,Uber,Transport,25.50
2024-03-20,Internet Provider,Subscriptions,75.00
2024-03-22,Uber,Transport,22.25
2024-03-25,Rent Payment,Housing,950.00
2024-03-26,Uber,Transport,20.75
2024-03-28,Health Insurance,Healthcare,325.00
2024-03-30,Mobile Provider,Subscriptions,85.00
2024-04-01,Monthly Freelance Income,Income,3900.00
2024-04-02,Client D Payment,Income,2250.00
2024-04-02,Referral Bonus,Income,500.00
2024-04-03,Uber,Transport,24.25
2024-04-06,Restaurant,Dining,55.25
2024-04-07,Uber,Transport,19.99
2024-04-10,Grocery Store,Groceries,142.30
2024-04-11,Uber,Transport,26.50
2024-04-12,Co-working Space,Housing,150.00
2024-04-14,Apple Store,Shopping,399.99
2024-04-15,Client B Payment,Income,850.00
2024-04-16,Apple App Store,Subscriptions,9.99
2024-04-17,Uber,Transport,21.75
2024-04-18,Ride Share,Transport,47.50
2024-04-19,Uber,Transport,23.25
2024-04-20,Conference Ticket,Education,350.00
2024-04-23,Uber,Transport,18.99
2024-04-25,Rent Payment,Housing,950.00
2024-04-27,Uber,Transport,25.75
2024-04-28,Health Insurance,Healthcare,325.00
2024-04-30,Mobile Provider,Subscriptions,85.00
2024-05-01,Monthly Freelance Income,Income,4100.00
2024-05-05,Client C Payment,Income,1750.00
2024-05-06,Uber,Transport,22.50
