Date,Merchant,Category,Amount
2024-07-01,Freelance Payment,Income,2800.00
2024-07-02,Uber,Transport,24.50
2024-07-03,Coffee Shop,Dining,12.75
2024-07-04,Adobe Creative Cloud,Subscriptions,52.99
2024-07-05,Uber,Transport,18.75
2024-07-06,Office Supply Store,Shopping,89.45
2024-07-07,Uber,Transport,22.25
2024-07-08,Whole Foods,Groceries,125.30
2024-07-09,Apple App Store,Subscriptions,9.99
2024-07-10,Uber,Transport,19.50
2024-07-11,Gas Station,Transport,45.50
2024-07-12,Uber,Transport,26.75
2024-07-13,Internet Provider,Subscriptions,75.00
2024-07-14,Amazon Electronics,Shopping,249.99
2024-07-15,Rent Payment,Housing,950.00
2024-07-16,Uber,Transport,21.50
2024-07-17,Health Insurance,Healthcare,325.00
2024-07-18,Mobile Provider,Subscriptions,85.00
2024-07-19,Tech Conference,Education,125.00
2024-07-20,Uber,Transport,23.75
2024-07-21,Restaurant,Dining,42.75
2024-07-22,Uber,Transport,17.99
2024-07-23,Whole Foods,Groceries,132.50
2024-07-24,Uber,Transport,25.25
2024-07-25,Co-working Space,Housing,150.00
2024-07-26,Best Buy,Shopping,179.99
2024-07-27,Computer Repair,Shopping,350.00
2024-07-28,Apple App Store,Subscriptions,9.99
2024-07-29,Uber,Transport,20.50
2024-07-30,Ride Share,Transport,48.25
2024-07-31,Uber,Transport,22.75
2024-08-01,Freelance Payment,Income,3200.00
2024-08-02,Online Course,Education,199.99
2024-08-03,Uber,Transport,19.25
2024-08-04,Coffee Shop,Dining,15.50
2024-08-05,Adobe Creative Cloud,Subscriptions,52.99
2024-08-06,Uber,Transport,24.99
2024-08-07,Office Supply Store,Shopping,67.75
2024-08-08,Uber,Transport,21.25
2024-08-09,Whole Foods,Groceries,118.45
2024-08-10,Apple App Store,Subscriptions,9.99
2024-08-11,Uber,Transport,18.50
2024-08-12,Gas Station,Transport,42.75
2024-08-13,Uber,Transport,23.99
2024-08-14,Internet Provider,Subscriptions,75.00
