Date,Merchant,Category,Amount
2024-01-01,Monthly Salary,Income,4500.00
2024-01-05,Mortgage Company,Housing,1850.00
2024-01-06,Fine Dining Restaurant,Dining,175.50
2024-01-08,Electric Company,Utilities,125.45
2024-01-10,Water & Sewer,Utilities,78.50
2024-01-12,Internet Provider,Subscriptions,89.99
2024-01-13,Designer Boutique,Shopping,245.99
2024-01-15,Grocery Store,Groceries,225.75
2024-01-18,Gas Station,Transport,65.25
2024-01-20,Restaurant,Dining,85.50
2024-01-22,Department Store,Shopping,145.75
2024-01-23,Netflix Premium,Subscriptions,19.99
2024-01-24,HBO Max,Subscriptions,15.99
2024-01-25,Mobile Provider,Subscriptions,110.00
2024-01-26,Disney+ Bundle,Subscriptions,13.99
2024-01-27,Upscale Bar,Entertainment,135.75
2024-01-28,Gym Membership,Healthcare,75.00
2024-01-30,Investment Contribution,Income,500.00
2024-01-31,Annual Performance Bonus,Income,2500.00
2024-02-01,Monthly Salary,Income,4500.00
2024-02-03,Fine Dining Restaurant,Dining,195.25
2024-02-05,Mortgage Company,Housing,1850.00
2024-02-08,Electric Company,Utilities,118.75
2024-02-10,Water & Sewer,Utilities,78.50
2024-02-12,Internet Provider,Subscriptions,89.99
2024-02-13,Luxury Brand Store,Shopping,325.50
2024-02-15,Grocery Store,Groceries,245.50
2024-02-17,Upscale Bar,Entertainment,145.99
2024-02-18,Gas Station,Transport,62.75
2024-02-20,Restaurant,Dining,92.25
2024-02-22,Home Improvement Store,Shopping,235.45
2024-02-23,Netflix Premium,Subscriptions,19.99
2024-02-24,HBO Max,Subscriptions,15.99
2024-02-25,Mobile Provider,Subscriptions,110.00
2024-02-26,Disney+ Bundle,Subscriptions,13.99
2024-02-28,Gym Membership,Healthcare,75.00
2024-02-29,Investment Contribution,Income,500.00
2024-03-01,Monthly Salary,Income,4500.00
2024-03-02,Fine Dining Restaurant,Dining,185.75
2024-03-05,Mortgage Company,Housing,1850.00
2024-03-08,Electric Company,Utilities,112.35
2024-03-10,Water & Sewer,Utilities,78.50
2024-03-12,Internet Provider,Subscriptions,89.99
2024-03-13,Designer Shoes,Shopping,289.99
2024-03-15,Grocery Store,Groceries,215.25
2024-03-16,Upscale Bar,Entertainment,155.25
2024-03-18,Gas Station,Transport,68.50
2024-03-20,Restaurant,Dining,78.95
2024-03-22,Electronics Store,Shopping,299.99
2024-03-23,Netflix Premium,Subscriptions,19.99
2024-03-24,HBO Max,Subscriptions,15.99
2024-03-25,Mobile Provider,Subscriptions,110.00
2024-03-26,Disney+ Bundle,Subscriptions,13.99
2024-03-28,Gym Membership,Healthcare,75.00
2024-03-30,Investment Contribution,Income,500.00
2024-03-31,Quarterly Bonus,Income,1800.00
2024-04-01,Monthly Salary,Income,4500.00
2024-04-05,Mortgage Company,Housing,1850.00
2024-04-06,Fine Dining Restaurant,Dining,215.50
2024-04-08,Electric Company,Utilities,105.75
2024-04-10,Water & Sewer,Utilities,78.50
2024-04-12,Internet Provider,Subscriptions,89.99
2024-04-13,Designer Clothing,Shopping,375.25
2024-04-15,Grocery Store,Groceries,232.45
2024-04-17,Upscale Bar,Entertainment,165.99
2024-04-18,Gas Station,Transport,64.50
2024-04-20,Restaurant,Dining,95.75
2024-04-22,Department Store,Shopping,125.50
2024-04-23,Netflix Premium,Subscriptions,19.99
2024-04-24,HBO Max,Subscriptions,15.99
2024-04-25,Mobile Provider,Subscriptions,110.00
2024-04-26,Disney+ Bundle,Subscriptions,13.99
2024-04-27,Apple Music Family,Subscriptions,14.99
2024-04-28,Gym Membership,Healthcare,75.00
2024-04-30,Investment Contribution,Income,500.00
2024-05-01,Monthly Salary,Income,4500.00
2024-05-05,Mortgage Company,Housing,1850.00
2024-05-04,Fine Dining Restaurant,Dining,195.99
2024-05-08,Electric Company,Utilities,98.45
2024-05-10,Water & Sewer,Utilities,78.50
2024-05-12,Internet Provider,Subscriptions,89.99
2024-05-13,Luxury Watch,Shopping,450.00
2024-05-15,Grocery Store,Groceries,218.75
2024-05-18,Gas Station,Transport,67.25
2024-05-18,Upscale Bar,Entertainment,175.50
2024-05-20,Restaurant,Dining,88.50
2024-05-22,Home Improvement Store,Shopping,175.25
2024-05-23,Netflix Premium,Subscriptions,19.99
2024-05-24,HBO Max,Subscriptions,15.99
2024-05-25,Mobile Provider,Subscriptions,110.00
