Date,Merchant,Category,Amount
2024-01-01,Monthly Salary,Income,4500.00
2024-01-01,Dry Cleaning,Shopping,35.50
2024-01-05,Mortgage Company,Housing,1850.00
2024-01-06,Fine Dining Restaurant,Dining,175.50
2024-01-08,Electric Company,Utilities,125.45
2024-01-10,Water & Sewer,Utilities,78.50
2024-01-12,Internet Provider,Subscriptions,89.99
2024-01-13,Designer Boutique,Shopping,245.99
2024-01-15,Grocery Store,Groceries,225.75
2024-01-18,Gas Station,Transport,65.25
2024-01-20,Restaurant,Dining,85.50
2024-01-22,Department Store,Shopping,145.75
2024-01-23,Netflix Premium,Subscriptions,19.99
2024-01-24,HBO Max,Subscriptions,15.99
2024-01-25,Mobile Provider,Subscriptions,110.00
2024-01-26,Disney+ Bundle,Subscriptions,13.99
2024-01-27,Upscale Bar,Entertainment,135.75
2024-01-28,Gym Membership,Healthcare,75.00
2024-01-30,Business Lunch,Dining,85.75
2024-02-01,Office Supplies,Shopping,125.99
2024-02-03,Fine Dining Restaurant,Dining,195.25
2024-02-05,Mortgage Company,Housing,1850.00
2024-02-08,Electric Company,Utilities,118.75
2024-02-10,Water & Sewer,Utilities,78.50
2024-02-12,Internet Provider,Subscriptions,89.99
2024-02-13,Luxury Brand Store,Shopping,325.50
2024-02-15,Grocery Store,Groceries,245.50
2024-02-17,Upscale Bar,Entertainment,145.99
2024-02-18,Gas Station,Transport,62.75
2024-02-20,Restaurant,Dining,92.25
2024-02-22,Home Improvement Store,Shopping,235.45
2024-02-23,Netflix Premium,Subscriptions,19.99
2024-02-24,HBO Max,Subscriptions,15.99
2024-02-25,Mobile Provider,Subscriptions,110.00
2024-02-26,Disney+ Bundle,Subscriptions,13.99
2024-02-28,Gym Membership,Healthcare,75.00
2024-02-29,Coffee Service,Subscriptions,45.00
2024-02-29,Performance Bonus,Income,1500.00
2024-03-01,Professional Development,Education,299.99
2024-03-02,Fine Dining Restaurant,Dining,185.75
2024-03-05,Mortgage Company,Housing,1850.00
2024-03-08,Electric Company,Utilities,112.35
2024-03-10,Water & Sewer,Utilities,78.50
2024-03-12,Internet Provider,Subscriptions,89.99
2024-03-13,Designer Shoes,Shopping,289.99
2024-03-15,Grocery Store,Groceries,215.25
2024-03-16,Upscale Bar,Entertainment,155.25
2024-03-18,Gas Station,Transport,68.50
2024-03-20,Restaurant,Dining,78.95
