Date,Merchant,Category,Amount
2024-07-01,Monthly Salary,Income,5500.00
2024-07-01,Mortgage Company,Housing,1850.00
2024-07-02,Dry Cleaning,Shopping,35.50
2024-07-05,Fine Dining Restaurant,Dining,175.50
2024-07-08,Electric Company,Utilities,125.45
2024-07-10,Water & Sewer,Utilities,78.50
2024-07-12,Internet Provider,Subscriptions,89.99
2024-07-13,Designer Boutique,Shopping,245.99
2024-07-15,Whole Foods,Groceries,225.75
2024-07-18,Gas Station,Transport,65.25
2024-07-20,Restaurant,Dining,85.50
2024-07-22,Department Store,Shopping,145.75
2024-07-23,Netflix Premium,Subscriptions,19.99
2024-07-24,HBO Max,Subscriptions,15.99
2024-07-25,Mobile Provider,Subscriptions,110.00
2024-07-26,Disney+ Bundle,Subscriptions,13.99
2024-07-27,Upscale Bar,Entertainment,135.75
2024-07-28,Gym Membership,Healthcare,75.00
2024-07-30,Business Lunch,Dining,85.75
2024-08-01,Monthly Salary,Income,5500.00
2024-08-01,Mortgage Company,Housing,1850.00
2024-08-02,Office Supplies,Shopping,125.99
2024-08-05,Fine Dining Restaurant,Dining,195.25
2024-08-08,Electric Company,Utilities,118.75
2024-08-10,Water & Sewer,Utilities,78.50
2024-08-12,Internet Provider,Subscriptions,89.99
2024-08-13,Luxury Brand Store,Shopping,325.50
2024-08-15,Whole Foods,Groceries,245.50
2024-08-17,Upscale Bar,Entertainment,145.99
2024-08-18,Gas Station,Transport,62.75
2024-08-20,Restaurant,Dining,92.25
2024-08-22,Home Improvement Store,Shopping,235.45
2024-08-23,Netflix Premium,Subscriptions,19.99
2024-08-24,HBO Max,Subscriptions,15.99
2024-08-25,Mobile Provider,Subscriptions,110.00
2024-08-26,Disney+ Bundle,Subscriptions,13.99
2024-08-28,Gym Membership,Healthcare,75.00
2024-08-29,Coffee Service,Subscriptions,45.00
2024-08-31,Professional Development,Education,299.99
2024-09-01,Monthly Salary,Income,5500.00
2024-09-01,Mortgage Company,Housing,1850.00
2024-09-02,Fine Dining Restaurant,Dining,185.75
2024-09-05,Dry Cleaning,Shopping,38.50
2024-09-08,Electric Company,Utilities,112.35
2024-09-10,Water & Sewer,Utilities,78.50
2024-09-12,Internet Provider,Subscriptions,89.99
2024-09-13,Designer Shoes,Shopping,289.99
2024-09-15,Whole Foods,Groceries,215.25
2024-09-16,Upscale Bar,Entertainment,155.25
2024-09-18,Gas Station,Transport,68.50
2024-09-20,Restaurant,Dining,78.95
2024-09-22,Luxury Watch Store,Shopping,450.00
2024-09-23,Netflix Premium,Subscriptions,19.99
2024-09-24,HBO Max,Subscriptions,15.99
2024-09-25,Mobile Provider,Subscriptions,110.00
2024-09-26,Disney+ Bundle,Subscriptions,13.99
2024-09-27,Gym Membership,Healthcare,75.00
2024-09-28,Coffee Service,Subscriptions,45.00
2024-09-30,Business Lunch,Dining,92.50
2024-10-01,Monthly Salary,Income,5500.00
2024-10-01,Mortgage Company,Housing,1850.00
2024-10-02,Office Supplies,Shopping,135.99
2024-10-05,Fine Dining Restaurant,Dining,205.25
2024-10-08,Electric Company,Utilities,129.45
2024-10-10,Water & Sewer,Utilities,78.50
2024-10-12,Internet Provider,Subscriptions,89.99
2024-10-13,Designer Clothing,Shopping,375.50
2024-10-15,Whole Foods,Groceries,235.75
2024-10-17,Upscale Bar,Entertainment,165.99
2024-10-18,Gas Station,Transport,71.25
2024-10-20,Restaurant,Dining,98.75
2024-10-22,Home Decor Store,Shopping,295.45
2024-10-23,Netflix Premium,Subscriptions,19.99
2024-10-24,HBO Max,Subscriptions,15.99
2024-10-25,Mobile Provider,Subscriptions,110.00
2024-10-26,Disney+ Bundle,Subscriptions,13.99
2024-10-27,Gym Membership,Healthcare,75.00
2024-10-28,Coffee Service,Subscriptions,45.00
2024-10-31,Professional Conference,Education,450.00
2024-11-01,Monthly Salary,Income,5500.00
2024-11-01,Mortgage Company,Housing,1850.00
2024-11-02,Fine Dining Restaurant,Dining,225.75
2024-11-05,Dry Cleaning,Shopping,42.50
2024-11-08,Electric Company,Utilities,135.85
2024-11-10,Water & Sewer,Utilities,78.50
2024-11-12,Internet Provider,Subscriptions,89.99
2024-11-13,Luxury Handbag Store,Shopping,525.99
2024-11-15,Whole Foods,Groceries,255.25
2024-11-16,Upscale Bar,Entertainment,175.25
2024-11-18,Gas Station,Transport,74.50
2024-11-20,Restaurant,Dining,105.95
2024-11-22,Art Gallery,Entertainment,350.00
2024-11-23,Netflix Premium,Subscriptions,19.99
2024-11-24,HBO Max,Subscriptions,15.99
2024-11-25,Mobile Provider,Subscriptions,110.00
2024-11-26,Disney+ Bundle,Subscriptions,13.99
2024-11-27,Gym Membership,Healthcare,75.00
2024-11-28,Coffee Service,Subscriptions,45.00
2024-11-30,Business Lunch,Dining,115.50
2024-12-01,Monthly Salary,Income,5500.00
2024-12-01,Monthly Bonus,Income,2000.00
2024-12-01,Mortgage Company,Housing,1850.00
2024-12-02,Office Supplies,Shopping,145.99
2024-12-05,Fine Dining Restaurant,Dining,245.25
2024-12-08,Electric Company,Utilities,142.35
2024-12-10,Water & Sewer,Utilities,78.50
2024-12-12,Internet Provider,Subscriptions,89.99
2024-12-13,Designer Jewelry,Shopping,675.50
2024-12-15,Whole Foods,Groceries,275.75
2024-12-17,Upscale Bar,Entertainment,185.99
2024-12-18,Gas Station,Transport,77.25
2024-12-20,Restaurant,Dining,125.75
2024-12-22,Luxury Home Goods,Shopping,395.45
2024-12-23,Netflix Premium,Subscriptions,19.99
2024-12-24,HBO Max,Subscriptions,15.99
2024-12-25,Mobile Provider,Subscriptions,110.00
2024-12-26,Disney+ Bundle,Subscriptions,13.99
2024-12-27,Gym Membership,Healthcare,75.00
2024-12-28,Coffee Service,Subscriptions,45.00
2024-12-30,Holiday Party Venue,Entertainment,500.00
2024-12-31,Year-End Professional Development,Education,599.99
