Date,Merchant,Category,Amount
2024-07-01,Part-time Job,Income,450.00
2024-07-01,Roommate (Rent Share),Housing,350.00
2024-07-02,Campus Cafe,Dining,6.75
2024-07-03,DoorDash,Dining,18.50
2024-07-04,Netflix,Subscriptions,15.99
2024-07-04,Spotify Premium,Subscriptions,9.99
2024-07-05,Grocery Outlet,Groceries,28.45
2024-07-06,City Transit,Transport,45.00
2024-07-08,DoorDash,Dining,21.25
2024-07-09,Amazon Prime,Subscriptions,14.99
2024-07-10,Campus Library,Education,8.75
2024-07-12,Fast Food Chain,Dining,14.50
2024-07-13,Thrift Store,Shopping,22.99
2024-07-14,DoorDash,Dining,19.75
2024-07-15,Student Union,Entertainment,12.00
2024-07-16,Mobile Provider,Subscriptions,35.00
2024-07-18,Campus Cafe,Dining,7.25
2024-07-19,Online Textbooks,Education,67.50
2024-07-20,Grocery Outlet,Groceries,31.20
2024-07-22,DoorDash,Dining,23.99
2024-07-24,HBO Max,Subscriptions,9.99
2024-07-25,Part-time Job,Income,450.00
2024-07-25,Roommate (Rent Share),Housing,350.00
2024-07-26,Pharmacy,Healthcare,18.45
2024-07-28,Coffee Shop,Dining,5.50
2024-07-29,Online Shopping,Shopping,34.99
2024-07-30,Mobile Provider,Subscriptions,35.00
2024-07-31,DoorDash,Dining,20.25
2024-08-01,Part-time Job,Income,450.00
2024-08-01,Roommate (Rent Share),Housing,350.00
2024-08-02,Campus Cafe,Dining,8.25
2024-08-03,DoorDash,Dining,24.50
2024-08-04,Netflix,Subscriptions,15.99
2024-08-04,Spotify Premium,Subscriptions,9.99
2024-08-05,Grocery Outlet,Groceries,29.75
2024-08-07,City Transit,Transport,45.00
2024-08-09,DoorDash,Dining,19.99
2024-08-10,Amazon Prime,Subscriptions,14.99
2024-08-11,Campus Print Shop,Education,6.50
2024-08-13,Fast Food Chain,Dining,16.75
2024-08-14,Clothing Store,Shopping,45.50
2024-08-15,Movie Theater,Entertainment,14.00
2024-08-16,DoorDash,Dining,22.75
2024-08-17,Mobile Provider,Subscriptions,35.00
