Date,Merchant,Category,Amount
2024-01-01,Academic Scholarship,Income,800.00
2024-01-03,University Bookstore,Shopping,129.99
2024-01-05,Campus Cafe,Dining,8.50
2024-01-07,City Transit,Transport,45.00
2024-01-08,Netflix,Subscriptions,15.99
2024-01-08,Spotify Premium,Subscriptions,9.99
2024-01-10,Grocery Outlet,Groceries,32.45
2024-01-12,DoorDash,Dining,22.50
2024-01-15,Student Union,Entertainment,15.00
2024-01-17,DoorDash,Dining,18.75
2024-01-20,Campus Library,Education,5.25
2024-01-22,DoorDash,Dining,24.99
2024-01-25,Fast Food Chain,Dining,16.75
2024-01-26,Amazon Prime,Subscriptions,14.99
2024-01-28,Roommate (Rent Share),Housing,350.00
2024-01-29,DoorDash,Dining,19.50
2024-01-30,Mobile Provider,Subscriptions,35.00
2024-02-01,Online Textbooks,Education,75.50
2024-02-03,Coffee Shop,Dining,4.75
2024-02-05,Campus Cafe,Dining,9.25
2024-02-08,Netflix,Subscriptions,15.99
2024-02-08,Spotify Premium,Subscriptions,9.99
2024-02-09,DoorDash,Dining,21.75
2024-02-10,Grocery Outlet,Groceries,38.75
2024-02-14,DoorDash,Dining,28.50
2024-02-15,Movie Theater,Entertainment,12.50
2024-02-18,DoorDash,Dining,17.99
2024-02-20,Campus Print Shop,Education,7.50
2024-02-22,Disney+,Subscriptions,7.99
2024-02-25,Part-time Job,Income,325.00
2024-02-25,Online Shopping,Shopping,45.99
2024-02-26,Amazon Prime,Subscriptions,14.99
2024-02-27,DoorDash,Dining,23.45
2024-02-28,Roommate (Rent Share),Housing,350.00
2024-03-01,Mobile Provider,Subscriptions,35.00
2024-03-03,Pharmacy,Healthcare,22.45
2024-03-05,Campus Cafe,Dining,7.95
2024-03-08,Netflix,Subscriptions,15.99
2024-03-08,Spotify Premium,Subscriptions,9.99
2024-03-08,Thrift Store,Shopping,18.50
2024-03-10,Grocery Outlet,Groceries,41.20
2024-03-11,DoorDash,Dining,25.99
2024-03-15,Student Union,Entertainment,11.75
2024-03-16,DoorDash,Dining,19.99
2024-03-20,Online Course,Education,49.99
2024-03-22,DoorDash,Dining,22.50
2024-03-22,HBO Max,Subscriptions,9.99
2024-03-25,Work Study Bonus,Income,150.00
2024-03-25,Clothing Store,Shopping,67.50
2024-03-26,Amazon Prime,Subscriptions,14.99
2024-03-28,Roommate (Rent Share),Housing,350.00
2024-03-29,DoorDash,Dining,24.50
2024-03-30,Mobile Provider,Subscriptions,35.00
